Sno,Category,Event Type,Trigger / Description,Sample Template,Field Parameters
1,Card Management,CARD_FROZEN,When a card is frozen or unfrozen by the user.,You have frozen the card. Auto pay transactions will continue to work.,card_status
2,,CARD_ARCHIVED,When a card is archived or unarchived by the user.,You have <%=data.attributes.card_status%> the card.,card_status
3,,CARD_DELETED,When a card is deleted from the associated user profile.,You have deleted the card.,card_status
4,,CARD_SHARING_UPDATED,When a shared user is added or removed from a card.,Shared user has been <%=data.attributes.shared_card_action%> to the account.,"primary_member_externalUserId, shared_member_externalUserId, shared_card_action"
5,,CARD_ACTIVATED,When a card is activated by the user.,,card_status
6,,CARD_REPORTED,"When a card is reported (e.g., lost/stolen) by the user.",,"card_status, reported_reason"
7,,CARD_PIN_CHANGED,When the card PIN is changed by the user.,,action
8,,CARD_ADDED_TO_WALLET,"When a card is added to a digital wallet (e.g., Apple Pay, Google Pay).",,wallet
9,,CARD_ADDED,When a card is manually added to the Card Suite by the user.,,card_status
10,,CARD_REISSUANCE_REQUESTED,When a card reissuance is requested by the cardholder.,,-
11,,NEW_CARD_ISSUED,When a new card is issued by the financial institution.,,-
12,,REPLACEMENT_CARD_ISSUED,When a replacement card is issued by the financial institution.,,"previous_pan_plain_text, previous_pan_cipher"
13,,CREDIT_CARD_PAYMENT_INITIATED,When a credit card payment is initiated by a cardholder.,,"payment_amount, payment_initiated_on, payment_account_last4, payment_id, payment_date"
14,,CREDIT_CARD_PAYMENT_CANCELED,When a credit card payment is canceled by a cardholder.,,"payment_amount, payment_initiated_on, payment_account_last4, payment_id, payment_date"
15,Card Control,SPEND_LIMIT_UPDATED,When transaction spend limits (daily/monthly/per-transaction) are updated.,A spend limit on <%=data.attributes.transaction_type%> has been added to the account,"transaction_type, daily_limit, monthly_limit, per_transaction_limit"
16,,CATEGORY_UPDATED,When merchant category controls (allow/block specific categories) are updated.,Category <%=data.attributes.merchant_category%> has been <%=data.attributes.status%> on the card.,"merchant_category_logo, merchant_sub_category, merchant_category, status"
17,,LOCATION_UPDATED,"When location controls (Location Shield, Region Shield, International) are updated.",Region <%=data.attributes.region_name%> has been <%=data.attributes.region_name_status%> on the card.,"location_shield_state, region_name_status, region_name, date_range_start_date, date_range_end_date, country_name_status, country_name"
18,,LOCATION_STALED,Generated when device location is not updated (for users with Location Shield enabled).,,"location_shield_state, lastLocationLongitude, lastLocationLatitude, lastLocationUpdatedAt"
19,,ONE_TIME_OVERRIDE_UPDATED,When a one-time override is performed by the user.,#N/A,"transaction_id, amount, override_end_time, merchant_name, currency, override_start_time"
20,,INTERNATIONAL_CONTROL_TOGGLE,When international transaction controls are enabled or disabled.,#N/A,international_control_status
21,,HOME_COUNTRY_UPDATED,When the user's home country setting is updated.,#N/A,"new_home_country_code, current_home_country_code"
22,,RECURRING_MERCHANT_UPDATED,When a merchantâ€™s recurring transaction is blocked or unblocked.,#N/A,"status, merchant_name"
23,Transaction,DECLINED_ON_POLICY,When a transaction is declined due to Card Suite controls.,Your <%=data.attributes.merchant_name%> transaction in the amount of <%=data.attributes.currency%> <%=data.attributes.amount%> at <%=data.attributes.transaction_datetime%> was declined due to <%=data.attributes.reason%> on the card.,"merchant_subcategory, reason, location_country, merchant_logo, location_state, merchant_category, transaction_datetime, location_city, currency, transaction_id, amount, merchant_name, transaction_payment_mode, transaction_time_epoch, location_zip_code"
24,,APPROVED,When a transaction is successfully approved.,Your <%=data.attributes.merchant_name%> transaction in the amount of <%=data.attributes.currency%> <%=data.attributes.amount%> at <%=data.attributes.transaction_datetime%> was approved on the card.,"merchant_subcategory, transaction_id, record_type, amount, location_country, merchant_logo, merchant_name, transaction_payment_mode, location_state, merchant_category, transaction_datetime, location_city, transaction_time_epoch, currency, location_zip_code"
25,,DISPUTE_RAISED,When a dispute is created on a transaction by the user.,#N/A,"merchant_logo, currency, transaction_id, amount, merchant_name, dispute_status, record_type, confirmation_id, dispute_created_datetime"
26,,DISPUTE_STATUS_UPDATED,When the status of an existing dispute is updated.,#N/A,"merchant_logo, currency, transaction_id, amount, merchant_name, dispute_status, record_type, confirmation_id, dispute_created_datetime"
27,Alerts,TRANSACTION_DECLINED_ON_POLICY,When a custom alert is generated for a declined transaction.,#N/A,"merchant_subcategory, location_country, record_type, merchant_logo, location_state, merchant_category, alert_ids, transaction_datetime, location_city, currency, transaction_id, amount, merchant_name, transaction_payment_mode, masked_pan, transaction_time_epoch, location_zip_code"
28,,TRANSACTIONS_APPROVED,When a custom alert is generated for an approved transaction.,Alert! A <%=data.attributes.merchant_name%> transaction in the amount of <%=data.attributes.currency%> <%=data.attributes.amount%> at <%=data.attributes.transaction_datetime%> was approved on the card.,"merchant_subcategory, transaction_id, record_type, amount, location_country, merchant_logo, merchant_name, transaction_payment_mode, location_state, merchant_category, alert_ids, masked_pan, transaction_datetime, location_city, transaction_time_epoch, currency, location_zip_code"